objectid,filename,format,subject,latitude,longitude,title,date,creator,description,rights,licenseurl,repository,citation,url
UAA-1976-067-001-327,https://archive.org/download/UAA-1976-067-001-327/UAA-1976-067-001-327.jpg,image/jpeg,Arts/Fine Arts,,,"""Liliom"" by Molnar - cast assembled on stage",1959,Studio Theatre,,© Studio Theatre. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1976-067-001-327, ""Liliom"" by Molnar - cast assembled on stage, 1959",https://archive.org/details/UAA-1976-067-001-327
UAA-1978-003-064,https://archive.org/download/UAA-1978-003-064/UAA-1978-003-064.jpg,image/jpeg,Women; Events,,,Senior Class party,1950,,,"© University of Alberta Archives, Licensed under CC BYhttps://creativecommons.org/licenses/by/2.0/ca/",https://creativecommons.org/licenses/by/2.0/ca/,University of Alberta Archives,"University of Alberta Archives, UAA-1978-003-064, Senior Class party, 1950",https://archive.org/details/UAA-1978-003-064
UAA-1974-154-027,https://archive.org/download/UAA-1974-154-027/UAA-1974-154-027.jpg,image/jpeg,Hospital; Equipment; Health Sciences,,,Polio Equipment,1953,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-027, Polio Equipment, 1953",https://archive.org/details/UAA-1974-154-027
UAA-1974-154-053,https://archive.org/download/UAA-1974-154-053/UAA-1974-154-053.jpg,image/jpeg,Hospital; Equipment; Faculty/Staff; Women,,,Miss M. McKay with nursing student at iron lung,1955,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-053, Miss M. McKay with nursing student at iron lung, 1955",https://archive.org/details/UAA-1974-154-053
UAA-1974-154-054,https://archive.org/download/UAA-1974-154-054/UAA-1974-154-054.jpg,image/jpeg,Hospital; Equipment; Faculty/Staff; Women,,,Miss McKnight and nursing class of 1956,1956,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-054, Miss McKnight and nursing class of 1956, 1956",https://archive.org/details/UAA-1974-154-054
UAA-1974-154-052,https://archive.org/download/UAA-1974-154-052/UAA-1974-154-052.jpg,image/jpeg,Hospital; Faculty/Staff; Health Sciences,,,Pediatrics wing,1957,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-052, Pediatrics wing, 1957",https://archive.org/details/UAA-1974-154-052
UAA-1974-154-008,https://archive.org/download/UAA-1974-154-008/UAA-1974-154-008.jpg,image/jpeg,Faculty/Staff; Equipment,,,Slim Waters (an original staff member) repairing equipment,1959,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-008, Slim Waters (an original staff member) repairing equipment, 1959",https://archive.org/details/UAA-1974-154-008
UAA-1974-154-009,https://archive.org/download/UAA-1974-154-009/UAA-1974-154-009.jpg,image/jpeg,Hospital; Equipment; Faculty/Staff; Health Sciences,,,Vince Seymour repairing an iron lung,1959,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-009, Vince Seymour repairing an iron lung, 1959",https://archive.org/details/UAA-1974-154-009
UAA-1974-154-055,https://archive.org/download/UAA-1974-154-055/UAA-1974-154-055.jpg,image/jpeg,Hospital; Equipment; Women,,,"Premature nursery, showing incubator",1959,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-055, Premature nursery, showing incubator, 1959",https://archive.org/details/UAA-1974-154-055
UAA-1974-154-033,https://archive.org/download/UAA-1974-154-033/UAA-1974-154-033.jpg,image/jpeg,Hospital; Buildings,,,"First Strathcona Hospital, 78th Avenue between 104 & 105 Street",1960,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-033, First Strathcona Hospital, 78th Avenue between 104 & 105 Street, 1960",https://archive.org/details/UAA-1974-154-033
UAA-1974-154-012,https://archive.org/download/UAA-1974-154-012/UAA-1974-154-012.jpg,image/jpeg,Hospital,,,Chaplain Ron Daugan,1962,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-012, Chaplain Ron Daugan, 1962",https://archive.org/details/UAA-1974-154-012
UAA-1974-154-047,https://archive.org/download/UAA-1974-154-047/UAA-1974-154-047.jpg,image/jpeg,Hospital; Vehicles; Faculty/Staff,,,Helicopter mercy flight at emergency entrance,1964,,,© University of Alberta Hospital. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-154-047, Helicopter mercy flight at emergency entrance, 1964",https://archive.org/details/UAA-1974-154-047
UAA-1975-100-053,https://archive.org/download/UAA-1975-100-053/UAA-1975-100-053.jpg,image/jpeg,Student Life; Arts/Fine Arts,,,"Mixed Chorus on tour, ""A Reliable Beginning""",1962,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-053, Mixed Chorus on tour, ""A Reliable Beginning"", 1962",https://archive.org/details/UAA-1975-100-053
UAA-1975-100-065,https://archive.org/download/UAA-1975-100-065/UAA-1975-100-065.jpg,image/jpeg,Faculty/Staff; Arts/Fine Arts,,,"""Mom & Pop"" Eaton",1962,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-065, ""Mom & Pop"" Eaton, 1962",https://archive.org/details/UAA-1975-100-065
UAA-1975-100-073,https://archive.org/download/UAA-1975-100-073/UAA-1975-100-073.jpg,image/jpeg,Student Life; Arts/Fine Arts,,,Sopranos in search of basses,1962,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-073, Sopranos in search of basses, 1962",https://archive.org/details/UAA-1975-100-073
UAA-1975-100-074,https://archive.org/download/UAA-1975-100-074/UAA-1975-100-074.jpg,image/jpeg,Student Life; Arts/Fine Arts,,,Clean country air certainly invigorates some people!,1962,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-074, Clean country air certainly invigorates some people!, 1962",https://archive.org/details/UAA-1975-100-074
UAA-1975-100-156,https://archive.org/download/UAA-1975-100-156/UAA-1975-100-156.jpg,image/jpeg,Student Life; Arts/Fine Arts,,,Guitar Session,1967,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-156, Guitar Session, 1967",https://archive.org/details/UAA-1975-100-156
UAA-1975-100-184,https://archive.org/download/UAA-1975-100-184/UAA-1975-100-184.jpg,image/jpeg,Faculty/Staff; Arts/Fine Arts,,,R.S. Eaton,2023,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-184, R.S. Eaton, 2023",https://archive.org/details/UAA-1975-100-184
UAA-1975-100-185,https://archive.org/download/UAA-1975-100-185/UAA-1975-100-185.jpg,image/jpeg,Faculty/Staff; Arts/Fine Arts,,,Richard Eaton directing,2023,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-185, Richard Eaton directing, 2023",https://archive.org/details/UAA-1975-100-185
UAA-1975-100-186,https://archive.org/download/UAA-1975-100-186/UAA-1975-100-186.jpg,image/jpeg,Faculty/Staff; Arts/Fine Arts,,,Richard Eaton directing,2023,,,© University of Alberta Mixed Chorus. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-186, Richard Eaton directing, 2023",https://archive.org/details/UAA-1975-100-186
UAA-1973-024-019,https://archive.org/download/UAA-1973-024-019/UAA-1973-024-019.jpg,image/jpeg,Student Life; Buildings,,,Students in front of Residence,1949,,,© University of Alberta Students' Union. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1973-024-019, Students in front of Residence, 1949",https://archive.org/details/UAA-1973-024-019
UAA-1973-024-128,https://archive.org/download/UAA-1973-024-128/UAA-1973-024-128.jpg,image/jpeg,Student Life; Women,,,Group of female students,1949,,,© University of Alberta Students' Union. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1973-024-128, Group of female students, 1949",https://archive.org/details/UAA-1973-024-128
UAA-1973-024-194,https://archive.org/download/UAA-1973-024-194/UAA-1973-024-194.jpg,image/jpeg,Student Life; Women,,,Group of female students,1949,,,© University of Alberta Students' Union. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1973-024-194, Group of female students, 1949",https://archive.org/details/UAA-1973-024-194
UAA-1973-024-202,https://archive.org/download/UAA-1973-024-202/UAA-1973-024-202.jpg,image/jpeg,Student Life,,,Male and Female student going skating - in front of tri-delta house,1949,,,© University of Alberta Students' Union. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1973-024-202, Male and Female student going skating - in front of tri-delta house, 1949",https://archive.org/details/UAA-1973-024-202
UAA-1974-037-011-2783,https://archive.org/download/UAA-1974-037-011-2783/UAA-1974-037-011-2783.jpg,image/jpeg,Groundbreaking/Construction; Buildings; Sciences/Engineering,,,Chemical mineral engineering bldg construction,1949,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-037-011-2783, Chemical mineral engineering bldg construction, 1949",https://archive.org/details/UAA-1974-037-011-2783
UAA-1969-012-007,https://archive.org/download/UAA-1969-012-007/UAA-1969-012-007.jpg,image/jpeg,President,,,"President Robert Newton, photograph of portrait",1950,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-007, President Robert Newton, photograph of portrait, 1950",https://archive.org/details/UAA-1969-012-007
UAA-1969-012-008,https://archive.org/download/UAA-1969-012-008/UAA-1969-012-008.jpg,image/jpeg,President,,,President Andrew Stewart,1950,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-008, President Andrew Stewart, 1950",https://archive.org/details/UAA-1969-012-008
UAA-1969-019-408,https://archive.org/download/UAA-1969-019-408/UAA-1969-019-408.jpg,image/jpeg,Health Sciences; Events; Women,,,Dental Hygiene Capping Ceremony,1950,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-019-408, Dental Hygiene Capping Ceremony, 1950",https://archive.org/details/UAA-1969-019-408
UAA-1969-012-197-1,https://archive.org/download/UAA-1969-012-197-1/UAA-1969-012-197-1.jpg,image/jpeg,Buildings; Library,,,Rutherford Library,1951,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-197-1, Rutherford Library, 1951",https://archive.org/details/UAA-1969-012-197-1
UAA-1969-012-197-3,https://archive.org/download/UAA-1969-012-197-3/UAA-1969-012-197-3.jpg,image/jpeg,Buildings; Library,,,Rutherford Library,1951,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-197-3, Rutherford Library, 1951",https://archive.org/details/UAA-1969-012-197-3
UAA-1969-012-069,https://archive.org/download/UAA-1969-012-069/UAA-1969-012-069.jpg,image/jpeg,Student Government; Student Life,,,"Students' Council, 1954-1955",1955,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-069, Students' Council, 1954-1955, 1955",https://archive.org/details/UAA-1969-012-069
UAA-1969-019-294,https://archive.org/download/UAA-1969-019-294/UAA-1969-019-294.jpg,image/jpeg,Buildings,,,University Hall (old SUB) front view,1957,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-019-294, University Hall (old SUB) front view, 1957",https://archive.org/details/UAA-1969-019-294
UAA-1969-019-066-055,https://archive.org/download/UAA-1969-019-066-055/UAA-1969-019-066-055.jpg,image/jpeg,Buildings,,,Tuck Shop at night,1958,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-019-066-055, Tuck Shop at night, 1958",https://archive.org/details/UAA-1969-019-066-055
UAA-1969-019-308,https://archive.org/download/UAA-1969-019-308/UAA-1969-019-308.jpg,image/jpeg,Events; Student Life,,,Award Presentation - crowning of Queen,1958,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-019-308, Award Presentation - crowning of Queen, 1958",https://archive.org/details/UAA-1969-019-308
UAA-1969-012-282,https://archive.org/download/UAA-1969-012-282/UAA-1969-012-282.jpg,image/jpeg,Alumni; Convocation,,,Founders' Day Luncheon - Original members of convocation,1960,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-282, Founders' Day Luncheon - Original members of convocation, 1960",https://archive.org/details/UAA-1969-012-282
UAA-1969-019-400,https://archive.org/download/UAA-1969-019-400/UAA-1969-019-400.jpg,image/jpeg,Equipment,,,Man operating 1620 Computer,1960,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-019-400, Man operating 1620 Computer, 1960",https://archive.org/details/UAA-1969-019-400
UAA-1969-012-009,https://archive.org/download/UAA-1969-012-009/UAA-1969-012-009.jpg,image/jpeg,President,,,President Walter H. Johns,1964,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-009, President Walter H. Johns, 1964",https://archive.org/details/UAA-1969-012-009
UAA-1974-037-011-3006,https://archive.org/download/UAA-1974-037-011-3006/UAA-1974-037-011-3006.jpg,image/jpeg,Equipment; Sciences/Engineering,,,Engineering Survey School,1970,,,© Unknown. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1974-037-011-3006, Engineering Survey School, 1970",https://archive.org/details/UAA-1974-037-011-3006
UAA-1975-100-043,https://archive.org/download/UAA-1975-100-043/UAA-1975-100-043.jpg,image/jpeg,Faculty/Staff; Arts/Fine Arts,,,"Mixed Chorus practice, Richard S. Eaton directing",1950,,,Image subject to copyright.. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-043, Mixed Chorus practice, Richard S. Eaton directing, 1950",https://archive.org/details/UAA-1975-100-043
UAA-1975-100-051,https://archive.org/download/UAA-1975-100-051/UAA-1975-100-051.jpg,image/jpeg,Faculty/Staff; Arts/Fine Arts,,,"R.S. Eaton and wife after presentation of ""1 Quart Jar of Aspirins""",1959,,,Image subject to copyright.. This item is protected by copyright and/or related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,,University of Alberta Archives,"University of Alberta Archives, UAA-1975-100-051, R.S. Eaton and wife after presentation of ""1 Quart Jar of Aspirins"", 1959",https://archive.org/details/UAA-1975-100-051
uaa-1969-012-021,https://dn790002.ca.archive.org/0/items/uaa-1969-012-021/UAA-1969-012-021.tiff.jpg,image/jpeg,Faculty/Staff; Military,,,Dr. Rankin Dean of Medicine,,University of Alberta Archives,"Rankin, A.C., Dean of Medicine, in military uniform, [1914-1918]",Public Domain,http://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, uaa-1969-012-021, Dr. Rankin Dean of Medicine, ",https://archive.org/details/uaa-1969-012-021
uaa-1969-097-930,https://archive.org/download/uaa-1969-097-930/uaa-1969-097-930.jpg,image/jpeg,Buildings,,,Lounge in Student's Building,,University of Alberta Archives,"Lounge in Student's Building, 1930s to 1940s",Public Domain,http://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, uaa-1969-097-930, Lounge in Student's Building, ",https://archive.org/details/uaa-1969-097-930
uaa-1969-097-931,https://archive.org/download/uaa-1969-097-931/uaa-1969-097-931.jpg,image/jpeg,Sciences/Engineering,,,Geology Museum,,University of Alberta Archives,"Geology Museum, n.d.",Public Domain,http://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, uaa-1969-097-931, Geology Museum, ",https://archive.org/details/uaa-1969-097-931
UAA-1978-036-003,https://archive.org/download/UAA-1978-036-003/UAA-1978-036-003.jpg,image/jpeg,Deans; Faculty/Staff; Sciences/Engineering,,,R.S.L. Wilson,,,Dean of Engineering 1929-1946 (https://discoverarchives.library.ualberta.ca/),Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1978-036-003, R.S.L. Wilson, ",https://archive.org/details/UAA-1978-036-003
UAA-1978-036-005,https://archive.org/download/UAA-1978-036-005/UAA-1978-036-005.jpg,image/jpeg,Deans; Faculty/Staff; Sciences/Engineering,,,George Wheeler Govier,,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1978-036-005, George Wheeler Govier, ",https://archive.org/details/UAA-1978-036-005
UAA-1978-036-006,https://archive.org/download/UAA-1978-036-006/UAA-1978-036-006.jpg,image/jpeg,Deans; Faculty/Staff; Sciences/Engineering,,,George Ford,,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1978-036-006, George Ford, ",https://archive.org/details/UAA-1978-036-006
UAA-2011-026-004,https://archive.org/details/UAA-2011-026-004/page/n3/mode/2up?view=theater,application/pdf,Nursing; Nursing schools; Hospitals; Universities and colleges – Students,,,University of Alberta Hospital Scrapbook,,University of Alberta School of Nursing,"This scrapbook with handpainted details contains black and white photographs, newspaper clippings, brochures, and paper ephemera documenting the activities, programs, and student life of the University of Alberta's School of Nursing over the years [1937-1966]. The scrapbook also features a substantial amount of materials on the activities of the Macleod Club.",Some items are in copyright. Open for research and education purposes.,,University of Alberta Archives,"University of Alberta Archives, UAA-2011-026-004, University of Alberta Hospital Scrapbook, ",
UAA-2011-026-005,https://archive.org/details/UAA-2011-026-005,application/pdf,Nursing; Nursing schools; Hospitals; Universities and colleges – Students,,,School of Nursing and Department of Extension of the University of Alberta Scrapbook,,University of Alberta School of Nursing; University of Alberta Department of Extension,"This scrapbook with handpainted details contains black and white photographs and written information about the public and private nursing education training schools in Alberta, Canada. It also shows the interiors of classrooms, hospital wards and sanitoriums around Alberta.",Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-2011-026-005, School of Nursing and Department of Extension of the University of Alberta Scrapbook, ",
UAA-1969-012-015,https://archive.org/download/UAA-1969-012-015/UAA-1969-012-015.jpg,image/jpeg,Deans; Faculty/Staff; Sciences/Engineering,,,Robert W. Boyle,,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-015, Robert W. Boyle, ",https://archive.org/details/UAA-1969-012-015
UAA-1969-012-251,https://archive.org/download/UAA-1969-012-251/UAA-1969-012-251.jpg,image/jpeg,Buildings,,,Varsity rink,,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-251, Varsity rink, ",https://archive.org/details/UAA-1969-012-251
UAA-1969-018-071,https://archive.org/download/UAA-1969-018-071/UAA-1969-018-071.jpg,image/jpeg,President; Faculty/Staff,,,Painting of Dr. H.M. Tory,,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-018-071, Painting of Dr. H.M. Tory, ",https://archive.org/details/UAA-1969-018-071
UAA-1969-012-010,https://archive.org/download/UAA-1969-012-010/UAA-1969-012-010.jpg,image/jpeg,Faculty/Staff,53.5461,-113.4937,First Senate,1908,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-010, First Senate, 1908",https://archive.org/details/UAA-1969-012-010
UAA-1969-019-2615,https://archive.org/download/UAA-1969-019-2615/UAA-1969-019-2615.jpg,image/jpeg,Athletics,53.5462,-113.4937,First Men's Hockey Team,1908,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-019-2615, First Men's Hockey Team, 1908",https://archive.org/details/UAA-1969-019-2615
UAA-1969-153-004,https://archive.org/download/UAA-1969-153-004/UAA-1969-153-004.jpg,image/jpeg,President,53.5463,-113.4937,Henry Marshall Tory,1908,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-153-004, Henry Marshall Tory, 1908",https://archive.org/details/UAA-1969-153-004
UAA-1969-153-005,https://archive.org/download/UAA-1969-153-005/UAA-1969-153-005.jpg,image/jpeg,President,53.5464,-113.4937,Henry Marshall Tory,1908,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-153-005, Henry Marshall Tory, 1908",https://archive.org/details/UAA-1969-153-005
UAA-1969-153-013,https://archive.org/download/UAA-1969-153-013/UAA-1969-153-013.jpg,image/jpeg,Buildings,53.5465,-113.4937,Convocation Hall Interior,1908,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-153-013, Convocation Hall Interior, 1908",https://archive.org/details/UAA-1969-153-013
UAA-1969-012-097,https://archive.org/download/UAA-1969-012-097/UAA-1969-012-097.jpg,image/jpeg,Classroom,53.5466,-113.4937,Philosophy 51 Class,1909,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-097, Philosophy 51 Class, 1909",https://archive.org/details/UAA-1969-012-097
uaa-1969-012-114,https://archive.org/download/uaa-1969-012-114/uaa-1969-012-114.jpg,image/jpeg,Buildings,,,Arts Building sod turning ceremony,1909,,"Arts Building. Sod turning ceremony, September 29, 1909. Gathering and preparation for sod-turning.",Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, uaa-1969-012-114, Arts Building sod turning ceremony, 1909",https://archive.org/details/uaa-1969-012-114
uaa-1969-012-115,https://archive.org/download/uaa-1969-012-115/uaa-1969-012-115.jpg,image/jpeg,Groundbreaking/Construction,,,Arts Building Sod turning ceremony,1909,University of Alberta Archives,"Sod turning ceremony, September 29, 1909. Dr. Ferris holding reins at right; John Radford, owner of the horses and contractor for the excavation.",Public Domain,http://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, uaa-1969-012-115, Arts Building Sod turning ceremony, 1909",https://archive.org/details/uaa-1969-012-115
UAA-1969-012-117,https://archive.org/download/UAA-1969-012-117/UAA-1969-012-117.jpg,image/jpeg,Groundbreaking/Construction; President; Animals,,,"Arts Building, Sod turning ceremony",1909,,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,University of Alberta Archives,"University of Alberta Archives, UAA-1969-012-117, Arts Building, Sod turning ceremony, 1909",https://archive.org/details/UAA-1969-012-117
